2026-03-10 10:29:57.613 [info] Reading sessions from keychain...
2026-03-10 10:29:57.613 [info] Got stored sessions!
2026-03-10 10:29:57.613 [info] Got 1 verified sessions.
2026-03-10 10:29:57.613 [info] Getting sessions for all scopes...
2026-03-10 10:29:57.613 [info] Got 1 sessions for ...
2026-03-10 10:29:57.613 [info] Getting sessions for all scopes...
2026-03-10 10:29:57.613 [info] Got 1 sessions for ...
2026-03-10 10:29:57.613 [info] Getting sessions for all scopes...
2026-03-10 10:29:57.613 [info] Got 1 sessions for ...
2026-03-10 10:29:57.613 [info] Getting sessions for all scopes...
2026-03-10 10:29:57.613 [info] Got 1 sessions for ...
2026-03-10 10:29:57.613 [info] Getting sessions for user:email...
2026-03-10 10:29:57.613 [info] Got 0 sessions for user:email...
2026-03-10 10:29:57.613 [info] Getting sessions for all scopes...
2026-03-10 10:29:57.613 [info] Got 1 sessions for ...
2026-03-10 10:29:57.613 [info] Getting sessions for all scopes...
2026-03-10 10:29:57.613 [info] Got 1 sessions for ...
2026-03-10 10:29:57.613 [info] Getting sessions for all scopes...
2026-03-10 10:29:57.613 [info] Got 1 sessions for ...
2026-03-10 10:29:57.613 [info] Getting sessions for all scopes...
2026-03-10 10:29:57.613 [info] Got 1 sessions for ...
2026-03-10 10:29:57.613 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-10 10:29:57.613 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-10 10:29:57.700 [info] Getting sessions for user:email...
2026-03-10 10:29:57.700 [info] Got 0 sessions for user:email...
2026-03-10 10:29:57.708 [info] Getting sessions for all scopes...
2026-03-10 10:29:57.708 [info] Got 1 sessions for ...
2026-03-10 10:29:57.709 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-10 10:29:57.709 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-10 10:29:58.162 [info] Getting sessions for all scopes...
2026-03-10 10:29:58.162 [info] Got 1 sessions for ...
2026-03-10 10:29:58.163 [info] Getting sessions for all scopes...
2026-03-10 10:29:58.163 [info] Got 1 sessions for ...
2026-03-10 10:29:58.201 [info] Getting sessions for read:user,repo,user:email,workflow...
