2026-03-10 14:05:36.779 [info] Reading sessions from keychain...
2026-03-10 14:05:36.779 [info] Getting sessions for all scopes...
2026-03-10 14:05:36.779 [info] Got stored sessions!
2026-03-10 14:05:36.779 [info] Got 1 verified sessions.
2026-03-10 14:05:36.779 [info] Got 1 sessions for ...
2026-03-10 14:05:36.779 [info] Getting sessions for all scopes...
2026-03-10 14:05:36.779 [info] Got 1 sessions for ...
2026-03-10 14:05:36.779 [info] Getting sessions for all scopes...
2026-03-10 14:05:36.779 [info] Got 1 sessions for ...
2026-03-10 14:05:36.779 [info] Getting sessions for all scopes...
2026-03-10 14:05:36.779 [info] Got 1 sessions for ...
2026-03-10 14:05:36.779 [info] Getting sessions for user:email...
2026-03-10 14:05:36.779 [info] Got 0 sessions for user:email...
2026-03-10 14:05:36.779 [info] Getting sessions for all scopes...
2026-03-10 14:05:36.779 [info] Got 1 sessions for ...
2026-03-10 14:05:36.779 [info] Getting sessions for all scopes...
2026-03-10 14:05:36.779 [info] Got 1 sessions for ...
2026-03-10 14:05:36.779 [info] Getting sessions for all scopes...
2026-03-10 14:05:36.779 [info] Got 1 sessions for ...
2026-03-10 14:05:36.779 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-10 14:05:36.779 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-10 14:05:36.855 [info] Getting sessions for user:email...
2026-03-10 14:05:36.855 [info] Got 0 sessions for user:email...
2026-03-10 14:05:37.184 [info] Getting sessions for all scopes...
2026-03-10 14:05:37.185 [info] Got 1 sessions for ...
2026-03-10 14:05:37.185 [info] Getting sessions for all scopes...
2026-03-10 14:05:37.185 [info] Got 1 sessions for ...
2026-03-10 14:05:37.367 [info] Getting sessions for all scopes...
2026-03-10 14:05:37.367 [info] Got 1 sessions for ...
2026-03-10 14:05:37.654 [info] Getting sessions for read:user,repo,user:email...
2026-03-10 14:05:37.654 [info] Got 0 sessions for read:user,repo,user:email...
2026-03-10 14:05:37.661 [info] Getting sessions for all scopes...
2026-03-10 14:05:37.661 [info] Got 1 sessions for ...
2026-03-10 14:05:37.685 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-10 14:05:37.685 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-10 14:05:38.545 [info] FetcherService: Electron fetch failed with status: 429 
2026-03-10 14:05:38.550 [info] Unable to resolve optional EDU details. Status: 429 
2026-03-10 14:05:38.568 [info] Getting sessions for all scopes...
2026-03-10 14:05:38.568 [info] Got 1 sessions for ...
2026-03-10 14:05:38.568 [info] Getting sessions for all scopes...
2026-03-10 14:05:38.568 [info] Got 1 sessions for ...
2026-03-10 14:05:38.569 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-10 14:05:38.569 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-10 14:05:38.645 [info] Getting sessions for all scopes...
2026-03-10 14:05:38.645 [info] Got 1 sessions for ...
2026-03-10 14:05:38.645 [info] Getting sessions for all scopes...
2026-03-10 14:05:38.645 [info] Got 1 sessions for ...
2026-03-10 14:05:38.647 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-10 14:05:38.647 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-10 14:05:38.872 [info] Getting sessions for all scopes...
2026-03-10 14:05:38.872 [info] Got 1 sessions for ...
2026-03-10 14:05:38.872 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-10 14:05:38.873 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-10 14:05:39.056 [info] Getting sessions for all scopes...
2026-03-10 14:05:39.056 [info] Got 1 sessions for ...
2026-03-10 14:05:39.057 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-10 14:05:39.057 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-10 14:05:41.296 [info] Getting sessions for all scopes...
2026-03-10 14:05:41.297 [info] Got 1 sessions for ...
2026-03-10 14:05:41.297 [info] Getting sessions for all scopes...
2026-03-10 14:05:41.297 [info] Got 1 sessions for ...
2026-03-10 14:05:46.500 [info] Getting sessions for all scopes...
2026-03-10 14:05:46.500 [info] Got 1 sessions for ...
2026-03-10 14:05:46.500 [info] Getting sessions for all scopes...
2026-03-10 14:05:46.500 [info] Got 1 sessions for ...
